lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,condition,seed,total_reward,reward_mean,reward_std,episode_length,final_branching,final_depth,final_noise
-4.5080382858641626,2.561444240870297,0.16229712309837838,2,0.008775858863486294,5.145498463088435,trained_params,21,-5.890806314486817,-0.11781612628973633,0.1880359066988034,50,2,2,0.005
-4.576820669855838,2.27151834314011,0.15323742906711635,4,0.04481944015895828,7.145498463088434,trained_params,22,-6.961536386269867,-0.13923072772539732,0.1530459530334515,50,2,2,0.1
-4.027301605693267,2.6843487363918865,0.175355166615403,2,0.031160284012998772,6.730460963809592,trained_params,23,-6.566367930261646,-0.1313273586052329,0.19725843840391719,50,2,2,0.05
-4.138404049141436,2.682055149197552,0.18077957489317087,3,0.012903432575763738,7.845938181229528,trained_params,24,-10.267437333463974,-0.2053487466692795,0.18648721609514662,50,2,2,0.1
-4.146956348136934,2.8845035876787444,0.2762643331090282,2,0.08795913088177928,7.845938181229528,trained_params,25,-5.801874451104264,-0.1160374890220853,0.18676250812408307,50,2,2,0.05
-4.377051752174791,2.4050854869998166,0.19981890599633897,2,0.00457732538917336,8.052389058696956,trained_params,26,-6.687959109940239,-0.13375918219880478,0.1907434079721269,50,2,2,0.1
-4.940114352196106,2.3162546825726027,0.13435876170030528,3,0.09094548854665412,7.315423464530748,trained_params,27,-8.944601457451032,-0.1788920291490207,0.160573523912075,50,2,2,0.05
-4.7391628032811095,1.3259357827299239,0.06798476221309589,2,0.011512472499813749,11.638418901976559,trained_params,28,-22.36665366904647,-0.44733307338092926,0.11829578112044017,50,2,2,0.05
-4.287160353791171,2.641965394392781,0.22670895675752178,2,0.038421499117583774,5.730460963809592,trained_params,29,-6.910003840856627,-0.13820007681713256,0.1626589625063165,50,2,2,0.005
-inf,0.0,0.0,1,0.06842208279951063,6.670551792437934,constant_reward,0,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.08920132627148955,6.670551792437933,constant_reward,1,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.10783994269295319,6.670551792437934,constant_reward,2,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.05356482323307233,6.670551792437934,constant_reward,3,0.0,0.0,0.0,50,3,3,0.05
